Unnamed: 0,Day 1,Day 5,Day 9,Day 14,Day 18,Day 31,Day 37,Day 42,Final,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Jess,George,Sammy,Sammy,Sammy,Mitchel,,Sammy,Sammy,Winner (Day 58),,,
Sammy,Not in Villa,Jess,Jess,Jess,Mal,Amber,Jess,Jess,Winner (Day 58),,,
Lochan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Whitney,Whitney,Whitney,Runner-Up (Day 58),,,
Whitney,Not in Villa,Mehdi,Mehdi,Mehdi,Mehdi,Lochan,Lochan,Lochan,Runner-Up (Day 58),,,
Ella T,Tyrique,Tyrique,,Tyrique,Tyrique,Ouzy,Tyrique,Tyrique,3rd Place (Day 58),,,
Tyrique,Ella T,Ella T,Leah,Ella T,Ella T,,Ella T,Ella T,3rd Place (Day 58),,,
Molly,Mitchel,Mitchel,Mitchel,Zachariah,Zachariah,Zachariah,Zachariah,Zachariah,4th Place (Day 58),,,
Zachariah,,Catherine,Charlotte,Molly,Molly,Molly,Molly,Molly,4th Place (Day 58),,,
Ella B,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mitchel,Dumped (Day 56),,,
Mitchel,Molly,Molly,Molly,Leah,Jess,Abi,Abi,Ella B,Dumped (Day 56),,,
Abi,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mitchel,Mitchel,Scott,Dumped (Day 52),,,
Scott,Not in Villa,Not in Villa,Not in Villa,Catherine,Catherine,,Amber,Abi,Dumped (Day 52),,,
Amber,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Sammy,Scott,Josh,Dumped (Day 44),Dumped (Day 44),,
Josh,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Amber,Dumped (Day 44),Dumped (Day 44),,
Kady,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,,Ouzy,Ouzy,Dumped (Day 44),Dumped (Day 44),,
Ouzy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ella T,Kady,Kady,Dumped (Day 44),Dumped (Day 44),,
Catherine,André,Zachariah,André,Scott,Scott,Elom,Elom,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38)
Elom,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Catherine,Catherine,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38)
Leah,Not in Villa,Not in Villa,Tyrique,Mitchel,Montel,Montel,Montel,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38)
Montel,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Leah,Leah,Leah,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38)
Benjamin,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Danielle,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Gabby,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Kodie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Tink,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Zachary,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Mal,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Sammy,Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),,
Mehdi,Ruchee,Whitney,Whitney,Whitney,Whitney,Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),,
André,Catherine,Ruchee,Catherine,Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),,
Charlotte,Not in Villa,Not in Villa,Zachariah,Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),Dumped (Day 12),,
Ruchee,Medhi,André,Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),,
George,Jess,Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),,
,,,,,,,,,,,,
Notes,1,,2,,3,"4, 5",,6,,,,
