Unnamed: 0,Day 1,Day 5,Day 11,Day 16,Day 22,Day 31,Day 40,Day 47,Final,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Josh,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mimii,Mimii,Winner (Day 58),,
Mimii,Munveer,,Ayo,Ayo,Ayo,,Josh,Josh,Winner (Day 58),,
Ciaran,Harriett,Nicole,Nicole,Nicole,Nicole,Nicole,Nicole,Nicole,Runner-Up (Day 58),,
Nicole,Sean,Ciaran,Ciaran,Ciaran,Ciaran,Ciaran,Ciaran,Ciaran,Runner-Up (Day 58),,
Matilda,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Sean,Sean,Sean,Sean,3rd Place (Day 58),,
Sean,Nicole,Harriett,Jess,Harriett,Matilda,Matilda,Matilda,Matilda,3rd Place (Day 58),,
Ayo,Patsy,Uma,Mimii,Mimii,Mimii,Jessica,Jessica,Jessica,4th Place (Day 58),,
Jessica,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ayo,Ayo,Ayo,4th Place (Day 58),,
Jessy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Joey,Joey,Joey,Dumped (Day 55),,
Joey,,Samantha,Samantha,Grace,Jess,Jessy,Jessy,Jessy,Dumped (Day 55),,
Grace,Not in Villa,Not in Villa,Not in Villa,Joey,Konnor,Blade,Reuben,Reuben,Dumped (Day 52),,
Reuben,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Grace,Grace,Dumped (Day 52),,
Harry,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Lola,Dumped (Day 49),,
Lola,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Harry,Dumped (Day 49),,
Konnor,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Grace,Emma,Lolly,Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44)
Lolly,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Konnor,Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44)
Blade,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Grace,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),
Emma,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Konnor,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),
Hugo,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Jess,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),
Jess,Ronnie,Ronnie,Sean,Omar,Joey,Hugo,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),
Uma,Not in Villa,Ayo,Omar,Wil,Wil,Wil,Walked (Day 37),Walked (Day 37),Walked (Day 37),Walked (Day 37),
Wil,Not in Villa,Not in Villa,Not in Villa,Uma,Uma,Uma,Dumped (Day 37),Dumped (Day 37),Dumped (Day 37),Dumped (Day 37),
Ellie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Trey,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Trey,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ellie,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Diamonté,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Jake,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Joel,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Lionel,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Lucy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Moziah,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Ruby,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Harriett,Ciaran,Sean,Ronnie,Sean,Ronnie,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26)
Ronnie,Jess,Jess,Harriett,Tiffany,Harriett,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),Dumped (Day 26)
Omar,Not in Villa,Not in Villa,Uma,Jess,Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),
Tiffany,Not in Villa,Not in Villa,Not in Villa,Ronnie,Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),Dumped (Day 21),
Samantha,Sam,Joey,Joey,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),,
