Unnamed: 0,Day 1,Day 6,Day 13,Day 18,Day 26,Day 33,Final,Unnamed: 8
,,,,,,,,
Finn,Not in Villa,Paige,Paige,Paige,Paige,Paige,Winner (Day 43),
Paige,Ollie,Finn,Finn,Finn,Finn,Finn,Winner (Day 43),
Luke T,Not in Villa,Not in Villa,Rebecca,Siânnise,Siânnise,Siânnise,Runner-Up (Day 43),
Siânnise,Nas,Connor,Nas,Luke T,Luke T,Luke T,Runner-Up (Day 43),
Demi,Not in Villa,Not in Villa,Not in Villa,Nas,,Luke M,3rd Place (Day 43),
Luke M,Not in Villa,Not in Villa,Jess,Jess,Natalia,Demi,3rd Place (Day 43),
Ched,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Jess,Jess,4th Place (Day 43),
Jess,,Nas,Luke M,Luke M,Ched,Ched,4th Place (Day 43),
Mike,Leanne,Leanne,Leanne,Sophie,Priscilla,Priscilla,Dumped (Day 41),
Priscilla,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mike,Mike,Dumped (Day 41),
Callum,Shaughna,Shaughna,Shaughna,Shaughna,Molly,Molly,Dumped (Day 38),
Molly,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Callum,Callum,Dumped (Day 38),
Jamie C,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Natalia,Dumped (Day 38),
Natalia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Luke M,Jamie,Dumped (Day 38),
Shaughna,Callum,Callum,Callum,Callum,,Dumped (Day 33),Dumped (Day 33),
Eva,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Nas,Dumped (Day 30),Dumped (Day 30),
Jordan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Rebecca,Dumped (Day 30),Dumped (Day 30),
Nas,Siânnise,Jess,Siânnise,Demi,Eva,Dumped (Day 30),Dumped (Day 30),
Rebecca,Not in Villa,Not in Villa,Luke T,Wallace,Jordan,Dumped (Day 30),Dumped (Day 30),
Alexi,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Biggs,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
George,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Jade,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Jamie M,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Josh,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Sophie,Connor,Connagh,Connor,Mike,Dumped (Day 22),Dumped (Day 22),Dumped (Day 22),Dumped (Day 22)
Wallace,Not in Villa,Not in Villa,Not in Villa,Rebecca,Dumped (Day 22),Dumped (Day 22),Dumped (Day 22),Dumped (Day 22)
Leanne,Mike,Mike,Mike,Dumped (Day 18),Dumped (Day 18),Dumped (Day 18),Dumped (Day 18),Dumped (Day 18)
Connor,Sophie,Siânnise,Sophie,Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15)
Connagh,Not in Villa,Sophie,Dumped (Day 13),Dumped (Day 13),Dumped (Day 13),Dumped (Day 13),Dumped (Day 13),Dumped (Day 13)
Eve,,Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6)
Ollie,Paige,Walked (Day 4),Walked (Day 4),Walked (Day 4),Walked (Day 4),Walked (Day 4),Walked (Day 4),Walked (Day 4)
,,,,,,,,
Notes,1,,,2,3,,,
