Unnamed: 0,Day 1,Day 5,Day 12,Day 19,Day 23,Day 31,Day 38,Day 47,Final,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Davide,,Ekin-Su,Gemma,Antigoni,Ekin-Su,Ekin-Su,Ekin-Su,Ekin-Su,Winner (Day 58),,,,,
Ekin-Su,Not In Villa,Davide,Jay,Charlie,Davide,Davide,Davide,Davide,Winner (Day 58),,,,,
Gemma,Liam,Luca,Davide,Luca,Luca,Luca,Luca,Luca,Runner-Up (Day 58),,,,,
Luca,Paige,Gemma,Danica,Gemma,Gemma,Gemma,Gemma,Gemma,Runner-Up (Day 58),,,,,
Dami,Amber,Amber,Amber,Indiyah,Indiyah,Summer,Indiyah,Indiyah,3rd Place (Day 58),,,,,
Indiyah,Ikenna,Ikenna,Ikenna,Dami,Dami,Deji,Dami,Dami,3rd Place (Day 58),,,,,
Andrew,Tasha,Tasha,Tasha,Tasha,Tasha,Coco,Tasha,Tasha,4th Place (Day 58),,,,,
Tasha,Andrew,Andrew,Andrew,Andrew,Andrew,Billy,Andrew,Andrew,4th Place (Day 58),,,,,
Adam,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Paige,Paige,Dumped (Day 56),,,,,
Paige,Luca,,Jacques,Jay,Jacques,Jacques,Adam,Adam,Dumped (Day 56),,,,,
Danica,Not in Villa,Not in Villa,Luca,Jacques,Jay,Josh,Billy,Jamie,Dumped (Day 51),,,,,
Jamie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Danica,Dumped (Day 51),,,,,
Deji,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Indiyah,Coco,Lacey,Dumped (Day 49),,,,,
Lacey,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Deji,Dumped (Day 49),,,,,
Nathalia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Reece,Dumped (Day 49),,,,,
Reece,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Nathalia,Dumped (Day 49),,,,,
Billy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tasha,Danica,Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44)
Summer,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dami,Josh,Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44),Dumped (Day 44)
Coco,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Andrew,Deji,Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39)
Josh,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Danica,Summer,Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),Dumped (Day 39)
Jacques,Not in Villa,Not in Villa,Paige,Danica,Paige,Paige,Walked (Day 37),Walked (Day 37),Walked (Day 37),Walked (Day 37),,,,
Chyna,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Jay,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Jay,Not in Villa,Not in Villa,Ekin-Su,Paige,Danica,Chyna,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Cheyanne,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
George,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Jack,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Jazmine,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Mollie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Samuel,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Antigoni,Not in Villa,Not in Villa,Not in Villa,Davide,Charlie,Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),,
