Unnamed: 0,Day 1,Day 1.1,Day 4,Day 9,Day 14,Day 21,Day 26,Day 31,Day 36,Day 48,Final,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Cach,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toni,Emma,Toni,Winner (Day 58),,,,,,,,,
Toni,,Ben,Conor,Single,Harrison,Harrison,Harrison,Cach,Harrison,Cach,Winner (Day 58),,,,,,,,,
Harry,Sophie,Sophie,Helena,Helena,Shakira,Shakira,Helena,Helena,Helena,Shakira,Runner-Up (Day 58),,,,,,,,,
Shakira,Ben,Single,Ben,Ben,Harry,Harry,Ben,Ty,Conor,Harry,Runner-Up (Day 58),,,,,,,,,
Jamie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Yasmin,Yasmin,Yasmin,3rd Place (Day 58),,,,,,,,,
Yasmin,Not in Villa,Not in Villa,Not in Villa,Shea,Ben,Giorgio,Conor,Jamie,Jamie,Jamie,3rd Place (Day 58),,,,,,,,,
Angel,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ty,4th Place (Day 58),,,,,,,,,
Ty,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Shakira,Lauren,Angel,4th Place (Day 58),,,,,,,,,
Dejon,Meg,Meg,Meg,Meg,Meg,Meg,Meg,Meg,Meg,Meg,Dumped (Day 56),,,,,,,,,
Meg,Dejon,Dejon,Dejon,Dejon,Dejon,Dejon,Dejon,Dejon,Dejon,Dejon,Dumped (Day 56),,,,,,,,,
Conor,Helena,Helena,Toni,Emily,Emily,Alima,Yasmin,Emma,Shakira,Megan,Dumped (Day 53),,,,,,,,,
Megan,Tommy,Tommy,Tommy,Tommy,Tommy,Dumped (Day 18),Dumped (Day 18),Dumped (Day 18),Dumped (Day 18),Conor,Re-dumped (Day 53),,,,,,,,,
Blu,Alima,Alima,Dumped (Day 4),Dumped (Day 4),Dumped (Day 4),Dumped (Day 4),Dumped (Day 4),Dumped (Day 4),Dumped (Day 4),Helena,Re-dumped (Day 51),,,,,,,,,
Helena,Conor,Conor,Harry,Harry,Shea,Ben,Harry,Harry,Harry,Blu,Dumped (Day 51),,,,,,,,,
Billykiss,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Giorgio,Boris,Boris,Dumped (Day 43),Dumped (Day 43),,,,,,,,,
Boris,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Billykiss,Billykiss,Dumped (Day 43),Dumped (Day 43),,,,,,,,,
Emma,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Conor,Cach,Dumped (Day 43),Dumped (Day 43),,,,,,,,,
Harrison,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toni,Toni,Toni,Lauren,Toni,Walked (Day 39),Walked (Day 39),,,,,,,,,
Lauren,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Harrison,Ty,Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38),Dumped (Day 38)
Andrada,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ben,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Ben,Shakira,Toni,Shakira,Shakira,Yasmin,Helena,Shakira,Andrada,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Lucy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tommy,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Tommy,Megan,Megan,Megan,Megan,Megan,Emily,Emily,Lucy,Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),Dumped (Day 35),
Emily,Not in Villa,Not in Villa,Not in Villa,Conor,Conor,Tommy,Tommy,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Chris,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Giorgio,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Yasmin,Billykiss,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Martin,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Rheo,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Yaz,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),,
Alima,Blu,Blu,Remell,Remell,Remell,Conor,Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),,,,,
Ryan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),,,,,
Remell,Not in Villa,Not in Villa,Alima,Alima,Alima,Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),,,,
Caprice,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),,,,
Poppy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),,,,
Shea,Not in Villa,Not in Villa,Single,Yasmin,Helena,Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),,,,
Will,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),Dumped (Day 17),,,,
Malisha,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),,,,,,
Sophie,Harry,Harry,Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),,,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes,1,2,"3, 4",,5,6,7,8,,9,,,,,,,,,,
