Unnamed: 0,Day 1,Day 6,Day 11,Day 33,Final,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Jess,Jordan,Josh,Omar,Max,Winner (Day 41),,,,
Max,Not in Villa,Not in Villa,Not in Villa,Jess,Winner (Day 41),,,,
Hannah,Jon,Jon,Jon,Jon,Runner-Up (Day 41),,,,
Jon,Hannah,Hannah,Hannah,Hannah,Runner-Up (Day 41),,,,
Josh,Lauren,Jess,Naomi,Lauren,3rd Place (Day 41),,,,
Lauren,Josh,Chris W,Luis,Josh,3rd Place (Day 41),,,,
Cally,Not in Villa,Not in Villa,Not in Villa,Luis,4th Place (Day 41),,,,
Luis,Zoe,Danielle,Lauren,Cally,4th Place (Day 41),,,,
Jordan,Jess,Zoe,Daisy,Zoe,Dumped (Day 35),,,,
Zoe,Luis,Jordan,Chris W,Jordan,Dumped (Day 35),,,,
Ben,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 33),Dumped (Day 33),,,,
Poppy,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 33),Dumped (Day 33),,,,
Naomi,Not in Villa,Not in Villa,Josh,Dumped (Day 28),Dumped (Day 28),,,,
Travis,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),,,,
Omar,Rachel,Rachel,Jess,Dumped (Day 21),Dumped (Day 21),,,,
Bethany,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 21),Dumped (Day 21),,,,
Daisy,Not in Villa,Not in Villa,Jordan,Dumped (Day 19),Dumped (Day 19),,,,
Chris W,Danielle,Lauren,Zoe,Dumped (Day 19),Dumped (Day 19),,,,
Chris B,Not in Villa,Not in Villa,Danielle,Dumped (Day 14),Dumped (Day 14),,,,
Danielle,Chris W,Luis,Chris B,Dumped (Day 14),Dumped (Day 14),,,,
Rachel,Omar,Omar,Dumped (Day 11),Dumped (Day 11),Dumped (Day 11),,,,
John,Not in Villa,Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),,,,
Tony,Not in Villa,Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),,,,
,,,,,,,,,
Notes,1,2,3,,,,,,
