Unnamed: 0,Day 1,Day 6,Day 14,Day 20,Day 24,Day 28,Day 34,Day 41,Final
,,,,,,,,,
Amber,Harley,Kem,Kem,Kem,Kem,Nathan,Jonny,Kem,Winner (Day 52)
Kem,Chloë,Amber,Amber,Amber,Amber,Chyna,Georgia,Amber,Winner (Day 52)
Camilla,Sam,Jonny,Jonny,Jonny,Jonny,Craig,Jamie,Jamie,Runner-Up (Day 52)
Jamie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Camilla,Camilla,Runner-Up (Day 52)
Chris,Not in Villa,Chloë,Chloë,Olivia,Olivia,Olivia,Olivia,Olivia,3rd Place (Day 52)
Olivia,Marcel,Sam,Mike,Chris,Chris,Chris,Chris,Chris,3rd Place (Day 52)
Gabby,Not in Villa,Not in Villa,Marcel,Marcel,Marcel,Marcel,Marcel,Marcel,4th Place (Day 52)
Marcel,Olivia,Montana,Gabby,Gabby,Gabby,Gabby,Gabby,Gabby,4th Place (Day 52)
Alex,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Montana,Montana,Montana,Dumped (Day 50)
Montana,Dom,Marcel,Sam,Simon,Dom,Alex,Alex,Alex,Dumped (Day 50)
Georgia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kem,Sam,Dumped (Day 46)
Sam,Camilla,Olivia,Montana,Chloë,Dumped  (Day 23),Dumped  (Day 23),Dumped  (Day 23),Georgia,Re-dumped (Day 46)
Mike,Not in Villa,Not in Villa,Olivia,Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17),Tyla,Re-dumped (Day 44)
Tyla,Not in Villa,Not in Villa,Not in Villa,Dom,Simon,,Theo,Mike,Dumped (Day 44)
Theo,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tyla,Dumped (Day 41),Dumped (Day 41)
Jonny,Not in Villa,Camilla,Camilla,Camilla,Camilla,Danielle,Amber,Dumped (Day 38),Dumped (Day 38)
Craig,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Camilla,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31)
Danielle,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Jonny,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31)
Nathan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Amber,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31)
Chyna,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kem,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31)
Dom,Montana,Jessica,Jessica,Tyla,Montana,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Marino,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Rob,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped Day 28),Dumped Day 28),Dumped Day 28),Dumped Day 28)
Steve,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Amelia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Ellisha-Jade,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Shannen,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Simon,Not in Villa,Not in Villa,Not in Villa,Montana,Tyla,Dumped  (Day 25),Dumped  (Day 25),Dumped  (Day 25),Dumped  (Day 25)
Chloë,Kem,Chris,Chris,Sam,Dumped  (Day 23),Dumped  (Day 23),Dumped  (Day 23),Dumped  (Day 23),Dumped  (Day 23)
Jessica,,Dom,Dom,Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17),Dumped  (Day 17)
Tyne-Lexy,Not in Villa,Not in Villa,Dumped  (Day 14),Dumped  (Day 14),Dumped  (Day 14),Dumped  (Day 14),Dumped  (Day 14),Dumped  (Day 14),Dumped  (Day 14)
Harley,Amber,Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6),Dumped  (Day 6)
,,,,,,,,,
Notes,1,2,,3,,4,,,
