Unnamed: 0,Day 1,Day 6,Day 10,Day 20,Day 30,Day 40,Day 47,Final,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Dani,Jack Fi,Jack Fi,Jack Fi,Jack Fi,Jack Fi,Jack Fi,Jack Fi,Winner (Day 59),,
Jack Fi,Dani,Dani,Dani,Dani,Dani,Dani,Dani,Winner (Day 59),,
Laura A,Wes,Wes,Wes,Wes,Jack Fo,Jack Fo,Paul,Runner-Up (Day 59),,
Paul,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Laura A,Runner-Up (Day 59),,
Josh D,Not in Villa,Not in Villa,Georgia,Georgia,Kaz,Kaz,Kaz,3rd Place (Day 59),,
Kaz,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Josh D,Josh D,Josh D,3rd Place (Day 59),,
Megan,Not in Villa,Not in Villa,Eyal,Eyal,Alex M,Wes,Wes,4th Place (Day 59),,
Wes,Laura A,Laura A,Laura A,Laura A,,Megan,Megan,4th Place (Day 59),,
Alex G,Samira,Samira,Samira,Ellie,Grace,Alexandra,Alexandra,Dumped (Day 57),Dumped (Day 57),
Alexandra,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Alex G,Alex G,Dumped (Day 57),Dumped (Day 57),
Jack Fo,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Laura A,Laura A,Laura C,Dumped (Day 53),Dumped (Day 53),
Laura C,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Jack Fo,Dumped (Day 53),Dumped (Day 53),
Josh M,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Stephanie,Dumped (Day 50),Dumped (Day 50),
Stephanie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Josh M,Dumped (Day 50),Dumped (Day 50),
Georgia,Not in Villa,Niall,Josh D,Josh D,,Sam,Dumped (Day 47),Dumped (Day 47),Dumped (Day 47),
Sam,Not in Villa,Not in Villa,Not in Villa,Samira,Ellie J,Georgia,Dumped (Day 47),Dumped (Day 47),Dumped (Day 47),
Charlie B,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ellie B,Ellie B,Dumped (Day 43),Dumped (Day 43),Dumped (Day 43),
Ellie B,Not in Villa,Not in Villa,Not in Villa,Alex,Charlie B,Charlie B,Dumped (Day 43),Dumped (Day 43),Dumped (Day 43),
Idris,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 40),Dumped (Day 40),Dumped (Day 40),Dumped (Day 40),
Kieran,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 40),Dumped (Day 40),Dumped (Day 40),Dumped (Day 40),
Samira,Alex,Alex,Alex,Sam,Frankie,Walked (Day 40),Walked (Day 40),Walked (Day 40),Walked (Day 40),
Frankie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Samira,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),
Grace,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Alex G,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),
Adam,Not in Villa,Rosie,Rosie,Zara,Darylle,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
