Unnamed: 0,Day 1,Day 5,Day 14,Day 19,Day 25,Day 32,Day 37,Day 45,Final,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Liam,Not in Villa,Faye,Millie,Millie,Millie,Millie,Millie,Millie,Winner (Day 58),,
Millie,Not in Villa,Not in Villa,Liam,Liam,Liam,Liam,Liam,Liam,Winner (Day 58),,
Chloe,,Hugo,Toby,Toby,Hugo,Dale,Toby,Toby,Runner-Up (Day 58),,
Toby,Kaz,Kaz,Chloe,Chloe,Abigail,Mary,Chloe,Chloe,Runner-Up (Day 58),,
Faye,Brad,Liam,Teddy,Teddy,Teddy,Sam,Teddy,Teddy,3rd Place (Day 58),,
Teddy,Not in Villa,Not in Villa,Faye,Faye,Faye,,Faye,Faye,3rd Place (Day 58),,
Kaz,Toby,Toby,Aaron F,Aaron F,Tyler,Matthew,Matthew,Tyler,4th Place (Day 58),,
Tyler,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kaz,Clarisse,Clarisse,Kaz,4th Place (Day 58),,
Jake,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Walked (Day 54),,
Liberty,Jake,Jake,Jake,Jake,Jake,Jake,Jake,Jake,Walked (Day 54),,
Aaron S,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Mary,Dumped (Day 52),Dumped (Day 52),
Mary,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toby,Sam,Aaron S,Dumped (Day 52),Dumped (Day 52),
Brett,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Priya,Dumped (Day 50),Dumped (Day 50),
Priya,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Brett,Dumped (Day 50),Dumped (Day 50),
Matthew,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kaz,Kaz,Dumped (Day 45),Dumped (Day 45),,
Abigail,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Toby,,Dale,Dumped (Day 42),Dumped (Day 42),,
Dale,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Chloe,Abigail,Dumped (Day 42),Dumped (Day 42),,
Amy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Hugo,Hugo,Dumped (Day 38),Dumped (Day 38),,
Clarisse,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tyler,Tyler,Dumped (Day 38),Dumped (Day 38),,
Hugo,Sharon,Chloe,Sharon,AJ,Chloe,Amy,Amy,Dumped (Day 38),Dumped (Day 38),,
Sam,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Faye,Mary,Dumped (Day 38),Dumped (Day 38),,
Harry,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Jack,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Kaila,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Lillie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Medhy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Salma,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),,
Aaron F,Shannon,Sharon,Kaz,Kaz,Lucinda,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Lucinda,Not in Villa,Not in Villa,Brad,Danny,Aaron F,Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28),Dumped (Day 28)
Georgia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),,
AJ,Not in Villa,Not in Villa,Not in Villa,Hugo,Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),,
Danny,Not in Villa,Not in Villa,Not in Villa,Lucinda,Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),Dumped (Day 23),,
Sharon,Hugo,Aaron F,Hugo,Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),,
Brad,Faye,,Lucinda,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),,
Rachel,Not in Villa,Not in Villa,Dumped (Day 14),Dumped (Day 14),Dumped (Day 14),Dumped (Day 14),Dumped (Day 14),Dumped (Day 14),Dumped (Day 14),,
Chuggs,Not in Villa,,Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),,
Shannon,Aaron F,Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),Dumped (Day 2),,
,,,,,,,,,,,
Notes,1,2,3,,,4,,5,,,
